,signal,reconstructed,anomaly
0,317.0,317.00000000000017,0
1,391.0,391.00000000000017,0
2,391.0,391.0000000000002,1
3,376.6,376.60000000000025,1
4,333.1,333.1000000000002,0
5,331.1,331.1000000000002,0
6,288.2,288.2000000000002,0
7,282.2,282.2000000000002,0
8,282.6,282.60000000000014,0
9,101.8,101.80000000000004,0
10,101.8,101.80000000000004,1
11,31.1,31.100000000000023,1
12,29.1,29.10000000000003,1
13,29.1,29.10000000000003,0
14,31.1,31.100000000000026,0
15,31.1,31.100000000000026,0
16,31.1,31.100000000000037,0
17,33.1,33.10000000000004,0
18,23.7,23.70000000000004,0
19,15.3,15.30000000000004,0
20,28.5,28.500000000000036,0
21,17.2,17.20000000000003,0
22,26.0,26.000000000000046,0
23,40.4,40.40000000000005,0
24,40.4,40.40000000000002,0
25,76.4,76.40000000000003,0
26,162.4,162.4000000000001,0
27,231.7,231.70000000000005,0
28,231.7,231.70000000000013,0
29,231.7,231.70000000000013,0
30,289.8,289.8000000000002,0
31,289.8,289.8000000000002,0
32,417.9,963.2062500000006,0
33,403.5,948.8062500000008,0
34,507.6,1052.9062500000007,0
35,471.6,1016.9062500000007,0
36,385.6,930.9062500000008,0
37,314.3,859.6062500000008,0
38,474.9,1020.2062500000005,0
39,491.7,1037.0062500000006,0
40,420.4,996.9437500000008,0
41,420.4,996.9437500000008,0
42,283.5,860.0437500000007,0
43,484.3,1060.8437500000007,0
44,2598.1,930.9437500000007,0
45,2600.1,932.9437500000007,0
46,2660.0,992.843750000001,0
47,2725.2,1058.0437500000007,0
48,2673.8,1277.256250000001,1
49,2813.2,1416.6562500000007,0
50,2952.6,1556.056250000001,0
51,2960.2,1563.6562500000005,0
52,2960.2,1551.0062500000004,1
53,2765.0,1355.806250000001,0
54,545.1,1450.1062500000007,0
55,551.7,1456.7062500000006,0
56,502.2,1326.518750000001,0
57,617.4,1441.718750000001,0
58,515.8,1340.1187500000008,0
59,460.4,1284.7187500000007,0
60,643.4,1467.718750000001,0
61,679.4,1503.718750000001,0
62,679.4,1503.718750000001,0
63,934.7,1759.018750000001,0
64,934.7,934.7000000000007,0
65,1116.7,1116.7000000000007,0
66,1372.6,1372.6000000000006,0
67,1209.0,1209.0000000000007,0
68,1201.4,1201.400000000001,0
69,1248.8,1248.8000000000006,0
70,935.8,935.8000000000009,0
71,896.2,896.200000000001,0
72,939.9,939.9000000000004,0
73,679.0,679.0000000000003,0
74,679.0,679.0000000000005,0
75,488.4,488.4000000000004,0
76,222.1,222.1000000000002,0
77,205.3,205.30000000000024,0
78,301.8,301.8000000000003,0
79,344.4,344.4000000000002,0
80,335.0,335.00000000000006,0
81,394.0,394.00000000000006,0
82,422.1,422.10000000000014,0
83,748.3,748.3000000000002,0
84,933.6,933.6000000000005,0
85,935.6,935.6000000000005,0
86,949.0,949.0000000000005,0
87,949.0,949.0000000000005,0
88,1115.3,1115.3000000000004,0
89,924.5,924.5000000000003,1
90,924.5,924.5000000000003,0
91,867.5,867.5000000000003,0
92,830.2,830.2,0
93,511.0,511.0,0
94,327.7,327.70000000000005,0
95,433.6,433.6,0
96,428.6,428.60000000000025,1
97,428.6,428.60000000000025,0
98,165.8,165.80000000000015,0
99,165.8,165.80000000000015,0
